Latitud;Longitud;nom_recinto;FechaHora;Nivel;Caudal;Alarma
-41.4820730;-72.9033080;K1;28/10/2016 02:00;3.70;2.00;1
-41.4811330;-72.9033680;K2;28/10/2016 02:00;3.40;-2.50;1
-41.4796100;-72.9795330;CORDILLERA;28/10/2016 02:00;3.80;7.10;1
-41.4708120;-72.9061550;H;28/10/2016 02:00;3.64;-50.03;1
-41.4641550;-72.9405580;ESTANQUE A;28/10/2016 02:00;3.33;No Aplica;1
-41.4628500;-72.9477610;D1;28/10/2016 02:00;2.94;26.55;0
-41.4589590;-72.9372690;COPA;28/10/2016 02:00;6.70;57.14;0
-41.4537210;-72.9352120;G4;28/10/2016 02:00;2.80;24.40;0
-41.4536830;-72.9348030;G2;28/10/2016 02:00;2.80;13.10;0
-41.4447410;-72.9586700;CAYENEL;28/10/2016 02:00;3.15;19.30;1
